,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51
34,2018-01-02 05:00:00,"1,6","5,37736","10,7","16,4412","16,3486",,,"25,0","31,0","27,399","27,632",,,"7,6283","98,4781",,"78,9","21,385","40,394817","28,3","47,58635","27,91","33,076639","37,583839","35,765982","45,775232","38,716987","32,02","39,68","43,230539","31,1134","13,3","23,0",,"20,8361","18,2341","11,9679","8,76216","12,1816","48,9",,,"21,77",,"53,7346","33,5739","14,5811",,,"9,83321","14,8779"
35,2018-01-02 06:00:00,"3,5","14,4257","12,9","20,545",,,,"22,3","39,0","31,599","29,057",,,"6,7376","92,1776",,"82,9","20,6907","39,980552","27,0","47,688945","34,85","33,030591","37,583839","38,665679","48,689518","42,931823","36,57","40,98","44,822551","38,7976","15,2","22,0",,"16,266","17,5653","11,2722","11,6753","19,1","41,2",,,"30,33",,"59,0721","32,1409","16,8104",,,"10,4128","8,44715"
36,2018-01-02 07:00:00,"5,7","20,5954","21,1","29,9596","28,5694","20,0905",,"25,8","43,0","39,999","33,332",,,"23,8303","95,8931",,"84,6","23,6515","39,255588","33,5","50,848884","36,68","36,449692","37,747968","41,468718","50,693089","46,898728","37,65","41,67","44,504148","43,6986","16,4","20,0",,"20,1298","16,827","13,0214","13,4317",,"40,5",,,"25,93",,"69,7541","28,5172","20,2776",,,"16,9361","13,6666"
37,2018-01-02 08:00:00,"4,87051","22,9025","20,3048","45,4092","36,462",,,"21,0","46,0","48,399","40,457",,,"15,5426","95,0332",,"88,1","21,0787","38,116358","38,7","63,745128","41,13","36,012231","44,477258","54,420696","50,693089","44,047515","38,1","41,05","48,006573","39,5119","14,3","16,0",,"19,9626","17,9485","16,1182","20,8146","26,3299","44,9",,,"35,1",,"58,7132","22,1467","30,8809",,,"17,9145","19,8552"
38,2018-01-02 09:00:00,"7,42346","19,9982","19,7475","50,3579","60,2671",,,"25,0","48,0","56,799","44,732",,,"15,5609","89,1515",,"95,9","24,3398","37,598526","42,1","80,765708","38,45","40,179621","51,781","42,241971","54,609161","42,064063","37,19","41,25","44,610282","50,0964","13,6","18,0",,"19,1266","20,8532","17,9127","24,2554","21,7377","55,3",,,"47,03",,"54,6237","21,477","41,1759",,,"18,1218","20,2217"
39,2018-01-02 10:00:00,"6,2142","24,7107","34,4934","61,7037","65,4864","24,6405",,"27,6","48,0","56,799","40,457",,,"10,9464","88,0684",,"90,7","52,1407","39,048455","34,6","73,56351","46,35","50,103073","49,893516","49,394555","51,239518","41,940097","36,56","39,63","40,789455","17,2461","13,6","17,0",,,"36,1069","22,0235","29,8407","23,9693","50,2",,,"26,55",,"52,2151","23,8841","40,8111",,,"27,9384","23,785"
40,2018-01-02 11:00:00,"7,57524","22,9354","32,53","72,5667","69,6873","25,8655",,"24,5","40,0","54,699","40,457",,,"9,78024","75,205",,"107,3","39,8305","40,084118","34,4","64,83264","45,88","53,234371","55,555968","39,052305","52,241304","40,452508","35,44","40,41","29,857643","18,1821","13,7","20,0",,,"45,4161","49,8855","23,7423","51,2766","47,5",,,"35,51",,"45,4777","11,6062","34,7419",,,"30,7477","22,4419"
41,2018-01-02 12:00:00,"7,57123","30,5539","21,38","46,2541","76,9434","29,103",,"26,8","37,0","51,549","49,007",,,"8,69172","64,5978",,"96,7","35,1978","36,045031","33,2","50,889922","50,5","52,393986","53,914677","33,542882","50,237732","40,700439","32,98","40,22","21,685318","23,5686","17,9","16,0",,"125,677","35,4483","33,8451","33,7682","93,9047","31,2",,,"17,73",,"48,3372","18,288","29,9887",,,"27,5003","28,874"
42,2018-01-02 13:00:00,"5,63519","9,85272","9,64249","36,9602","53,9021","30,9405",,"40,7","26,0","39,999","46,157",,,"9,49925","68,9298","36,0096","103,2","31,3735","31,384546","34,5","51,710686","42,29","47,616454","52,355452","30,449872","47,414518","38,840953","35,29","37,54","23,171195","21,6206","20,3","21,0",,"94,7466","32,8688","17,7665","49,7227","84,8","24,5",,,"30,75",,"26,6","29,3568","31,1411",,,"27,1313","24,5037"
43,2018-01-02 14:00:00,"5,73559","7,2998","7,80208","21,9934","46,9006","37,153",,"39,3","27,0","41,049","50,432",,,"8,28804","63,2888","32,9","89,3","38,776","28,381123","33,0","40,763754","37,86","45,498223","57,033129","31,029812","41,403804","36,857501","34,9","33,14","29,645375","18,6744","22,6","23,0",,"52,7275","39,8191","27,9672","37,6951","110,601","34,2",,,"40,81",,"21,9702","34,5841","28,9018",,,"15,0771","25,8668"
44,2018-01-02 15:00:00,"4,0","6,60387","7,37354",,"59,7579","34,9655",,"33,0","29,0","45,249","51,857",,,"14,2171","54,1417","40,9","35,9","53,8152","30,763148","33,8","48,858533","41,43","39,051432","67,537387","34,799417","40,037732","34,130254","33,0","31,22","29,539241","17,5637",,"21,0",,"34,5009","37,0455","31,7055","40,9655","60,5958","27,9",,,"88,5",,"29,2642","29,2426","34,3886",,,"14,6595","24,9792"
45,2018-01-02 16:00:00,"9,03344","7,09217","7,85306","1,1123","54,4113","40,3905",,"32,4","25,0","45,249","63,257",,,"14,309","42,4459","46,9216","34,1","58,7344","33,766572","35,4","55,311785","35,02","46,614899","59,659194","35,379356","44,135946","37,353364","33,44","33,13","44,185746","34,5991","17,6","28,0",,"95,6609","47,1834","33,0303","37,0",,"24,7",,,"135,01",,"28,853","29,4876","37,372",,,"15,7557","18,1609"
46,2018-01-02 17:00:00,"8,60344","8,39689","8,67076","35,6325","57,2119","46,078",,"34,4","27,0","38,949","77,507",,,"13,2562","40,4025","47,2192","27,8","65,1234","33,24874","39,4","60,410777","37,86","47,121432","48,252226","30,739842","46,503804","42,311994","34,35","35,74","54,056217","36,3419",,"20,0",,"118,551","56,5114","28,8436","41,1335","68,7199","39,4",,,"75,3",,"33,6967","25,5095","45,6337",,,"15,2415","30,2299"
47,2018-01-02 18:00:00,"5,58553","11,5106","10,2662","55,548","70,0692","39,953",,"43,1","16,0","39,999","78,932",,,"10,9331","42,3189","53,7664","37,0","52,3537","33,455873","37,8","62,832029","41,5","44,34701","49,729387","31,223125","46,503804","39,832679","33,01","37,02","55,117558","17,309","26,4","23,0",,"152,785","47,3127","26,2356","40,5368",,"38,4",,,"69,78",,"47,3631","27,7201","43,6108",,,"17,2885","25,166"
