,year,month,station,city,PM2.5
224,2014,12,LuZielKrotka,Zielona Góra,18.768082307692307
225,2014,12,MpKrakAlKras,Kraków,41.74652777777778
226,2014,12,MpKrakBulwar,Kraków,26.854166666666668
227,2014,12,MzLegZegrzyn,Legionowo,27.152445390756302
228,2014,12,MzPlocMiReja,Płock,22.095827338129496
229,2014,12,MzRadTochter,Radom,30.366527777777776
230,2014,12,MzSiedKonars,Siedlce,26.118784722222223
231,2014,12,MzWarAlNiepo,Warszawa,29.869463866412215
232,2014,12,MzWarWokalna,Warszawa,22.739721254355402
233,2014,12,MzZyraRoosev,Żyrardów,30.096537102473498
234,2014,12,OpKKozBSmial,Kędzierzyn-Koźle,30.372623574144487
235,2014,12,PkPrzemGrunw,Przemyśl,22.8295659375
236,2014,12,SlKatoKossut,Katowice,27.368055555555557
237,2014,12,SlZlotPotLes,Złoty Potok,18.06909090909091
238,2014,12,WmOlsPuszkin,Olsztyn,22.60072977946768
239,2014,12,WpKaliSawick,Kalisz,32.134408602150536
240,2019,1,DsWrocAlWisn,Wrocław,22.616078993055552
241,2019,1,KpBydPlPozna,Bydgoszcz,23.855142672413795
242,2019,1,LdLodzCzerni,Łódź,19.024208333333334
243,2019,1,LdZgieMielcz,Zgierz,29.183656779661018
244,2019,1,LuZielKrotka,Zielona Góra,17.742113272058823
245,2019,1,MpKrakAlKras,Kraków,32.88004573943662
246,2019,1,MpKrakBulwar,Kraków,24.958600736842104
247,2019,1,MzLegZegrzyn,Legionowo,21.26430888421053
248,2019,1,MzPlocMiReja,Płock,17.996584979094077
249,2019,1,MzRadTochter,Radom,21.598094664092663
250,2019,1,MzSiedKonars,Siedlce,17.343174904942966
251,2019,1,MzWarAlNiepo,Warszawa,23.692450142857144
252,2019,1,MzWarWokalna,Warszawa,15.88579834090909
253,2019,1,MzZyraRoosev,Żyrardów,17.335828059440562
254,2019,1,OpKKozBSmial,Kędzierzyn-Koźle,26.21438338403042
255,2019,1,PkPrzemGrunw,Przemyśl,18.62430278884462
256,2019,1,SlKatoKossut,Katowice,25.366380227272725
257,2019,1,SlZlotPotLes,Złoty Potok,19.45012954385965
258,2019,1,WmOlsPuszkin,Olsztyn,13.615377222222222
259,2019,1,WpKaliSawick,Kalisz,24.55449014184397
260,2019,2,DsWrocAlWisn,Wrocław,18.106960833333332
261,2019,2,KpBydPlPozna,Bydgoszcz,21.13288174273859
262,2019,2,LdLodzCzerni,Łódź,15.078746527777778
263,2019,2,LdZgieMielcz,Zgierz,22.34388432835821
264,2019,2,LuZielKrotka,Zielona Góra,12.00918723320158
265,2019,2,MpKrakAlKras,Kraków,24.962410868055557
266,2019,2,MpKrakBulwar,Kraków,17.293545524475526
267,2019,2,MzLegZegrzyn,Legionowo,16.585587100694443
268,2019,2,MzPlocMiReja,Płock,15.977973322695036
269,2019,2,MzRadTochter,Radom,17.393022711026614
270,2019,2,MzSiedKonars,Siedlce,14.54130681818182
271,2019,2,MzWarAlNiepo,Warszawa,20.773600756944447
272,2019,2,MzWarWokalna,Warszawa,12.779014927272726
273,2019,2,MzZyraRoosev,Żyrardów,14.363847010416666
274,2019,2,OpKKozBSmial,Kędzierzyn-Koźle,18.844253394160585
275,2019,2,PkPrzemGrunw,Przemyśl,16.462500000000002
276,2019,2,SlKatoKossut,Katowice,20.194623863636362
277,2019,2,SlZlotPotLes,Złoty Potok,14.303088035714286
278,2019,2,WmOlsPuszkin,Olsztyn,12.211243159722223
279,2019,2,WpKaliSawick,Kalisz,17.21396262589928
280,2019,3,DsWrocAlWisn,Wrocław,15.775192916666665
281,2019,3,KpBydPlPozna,Bydgoszcz,17.100633789954337
282,2019,3,LdLodzCzerni,Łódź,16.239930555555556
283,2019,3,LdZgieMielcz,Zgierz,24.380370503597124
284,2019,3,LuZielKrotka,Zielona Góra,10.385625118110237
285,2019,3,MpKrakAlKras,Kraków,25.057876145833333
286,2019,3,MpKrakBulwar,Kraków,16.539232084805654
287,2019,3,MzLegZegrzyn,Legionowo,17.225780694444445
288,2019,3,MzPlocMiReja,Płock,16.299781293706292
289,2019,3,MzRadTochter,Radom,19.095623424354244
290,2019,3,MzSiedKonars,Siedlce,17.05423076923077
291,2019,3,MzWarAlNiepo,Warszawa,22.963387618055556
292,2019,3,MzWarWokalna,Warszawa,14.585515861111112
293,2019,3,MzZyraRoosev,Żyrardów,15.75674013888889
294,2019,3,OpKKozBSmial,Kędzierzyn-Koźle,15.368113090277777
295,2019,3,PkPrzemGrunw,Przemyśl,17.204924242424244
296,2019,3,SlKatoKossut,Katowice,21.22054128787879
297,2019,3,SlZlotPotLes,Złoty Potok,14.873210350877194
298,2019,3,WmOlsPuszkin,Olsztyn,12.573481493055557
299,2019,3,WpKaliSawick,Kalisz,16.73300205128205
300,2019,4,DsWrocAlWisn,Wrocław,14.711315555555554
301,2019,4,KpBydPlPozna,Bydgoszcz,15.674518007662835
302,2019,4,LdLodzCzerni,Łódź,14.396658450704225
303,2019,4,LdZgieMielcz,Zgierz,23.76317391304348
304,2019,4,LuZielKrotka,Zielona Góra,11.526194206349206
305,2019,4,MpKrakAlKras,Kraków,26.51200536842105
306,2019,4,MpKrakBulwar,Kraków,16.276121371841157
307,2019,4,MzLegZegrzyn,Legionowo,18.214543350694445
308,2019,4,MzPlocMiReja,Płock,15.738360027777778
309,2019,4,MzRadTochter,Radom,16.108098475524475
310,2019,4,MzSiedKonars,Siedlce,17.603680555555556
311,2019,4,MzWarAlNiepo,Warszawa,21.616240387323945
312,2019,4,MzWarWokalna,Warszawa,13.11292168292683
313,2019,4,MzZyraRoosev,Żyrardów,15.256035707317075
314,2019,4,OpKKozBSmial,Kędzierzyn-Koźle,12.456013229166667
315,2019,4,PkPrzemGrunw,Przemyśl,15.862121212121213
316,2019,4,SlKatoKossut,Katowice,18.163579487179486
317,2019,4,SlZlotPotLes,Złoty Potok,13.984448229166667
318,2019,4,WmOlsPuszkin,Olsztyn,11.765801666666668
319,2019,4,WpKaliSawick,Kalisz,15.140060996441282
320,2019,5,DsWrocAlWisn,Wrocław,17.10132652631579
321,2019,5,KpBydPlPozna,Bydgoszcz,18.798224535315985
322,2019,5,LdLodzCzerni,Łódź,14.491383275261324
323,2019,5,LdZgieMielcz,Zgierz,21.636508960573476
324,2019,5,LuZielKrotka,Zielona Góra,11.251369037037037
325,2019,5,MpKrakAlKras,Kraków,26.896639097222224
326,2019,5,MpKrakBulwar,Kraków,19.13296063157895
327,2019,5,MzLegZegrzyn,Legionowo,16.876780291666666
328,2019,5,MzPlocMiReja,Płock,15.626383673684211
329,2019,5,MzRadTochter,Radom,17.797985840277775
330,2019,5,MzSiedKonars,Siedlce,17.06854166666667
331,2019,5,MzWarAlNiepo,Warszawa,20.837380975694444
332,2019,5,MzWarWokalna,Warszawa,12.845158843205574
333,2019,5,MzZyraRoosev,Żyrardów,14.239595628472223
334,2019,5,OpKKozBSmial,Kędzierzyn-Koźle,16.217192534722223
335,2019,5,PkPrzemGrunw,Przemyśl,16.59280303030303
336,2019,5,SlKatoKossut,Katowice,20.66137912891986
337,2019,5,SlZlotPotLes,Złoty Potok,14.724469328621907
338,2019,5,WmOlsPuszkin,Olsztyn,13.514101637630661
339,2019,5,WpKaliSawick,Kalisz,17.711357969924812
340,2019,6,DsWrocAlWisn,Wrocław,17.5841946875
341,2019,6,KpBydPlPozna,Bydgoszcz,18.956004270462635
342,2019,6,LdLodzCzerni,Łódź,15.6125
343,2019,6,LdZgieMielcz,Zgierz,27.59737037037037
344,2019,6,LuZielKrotka,Zielona Góra,12.484406567164179
345,2019,6,MpKrakAlKras,Kraków,24.638056840277777
346,2019,6,MpKrakBulwar,Kraków,18.460198958333333
347,2019,6,MzLegZegrzyn,Legionowo,20.543225954861114
348,2019,6,MzPlocMiReja,Płock,16.69539410915493
349,2019,6,MzRadTochter,Radom,19.976788930555557
350,2019,6,MzSiedKonars,Siedlce,18.525094696969695
351,2019,6,MzWarAlNiepo,Warszawa,22.615611013888888
352,2019,6,MzWarWokalna,Warszawa,13.970409017605634
353,2019,6,MzZyraRoosev,Żyrardów,18.259719208333333
354,2019,6,OpKKozBSmial,Kędzierzyn-Koźle,18.91618451388889
355,2019,6,PkPrzemGrunw,Przemyśl,17.631060606060608
356,2019,6,SlKatoKossut,Katowice,22.442222361111114
357,2019,6,SlZlotPotLes,Złoty Potok,15.267093957597174
358,2019,6,WmOlsPuszkin,Olsztyn,14.656728854166667
359,2019,6,WpKaliSawick,Kalisz,16.739829244604316
360,2019,7,DsWrocAlWisn,Wrocław,20.476593894736844
